date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour
1/1/2014,3,3,1,0.0
1/1/2015,2,2,2,0.0
1/1/2016,2,2,1,0.0
1/1/2017,2,1,1,0.0
1/10/2014,3,3,2,1.778
1/10/2015,2,2,2,0.0
1/10/2016,1,1,1,0.0
1/10/2017,4,4,4,10.414
1/11/2014,3,3,3,2.032
1/11/2015,2,2,1,0.0
1/11/2016,2,1,1,0.0
1/11/2017,4,3,3,16.002
1/12/2014,3,3,3,1.524
1/12/2015,2,2,1,3.302
1/12/2016,2,1,1,0.0
1/12/2017,3,3,3,6.604
1/13/2014,3,3,3,5.334
1/13/2015,2,2,1,1.016
1/13/2016,1,1,1,0.0
1/13/2017,3,3,2,5.334
1/14/2014,3,3,3,0.0
1/14/2015,2,2,1,0.508
1/14/2016,1,1,1,0.0
1/14/2017,2,2,2,0.0
1/15/2014,3,3,3,1.524
1/15/2015,2,2,1,0.254
1/15/2016,2,2,1,0.0
1/15/2017,2,2,2,0.0
1/16/2014,3,3,3,0.0
1/16/2015,2,2,1,0.0
1/16/2016,2,2,1,0.254
1/16/2017,2,2,2,0.0
1/17/2014,3,3,3,0.0
1/17/2015,2,2,1,0.0
1/17/2016,2,2,1,5.842
1/17/2016,2,2,1,5.842
1/17/2016,3,3,2,5.842
1/17/2016,3,3,2,5.842
1/17/2017,2,2,2,0.508
1/18/2014,3,3,3,0.0
1/18/2015,2,2,1,2.794
1/18/2016,3,3,2,0.254
1/18/2017,1,1,1,0.0
1/19/2014,3,3,2,0.0
1/19/2015,2,2,1,0.0
1/19/2016,3,3,2,0.0
1/19/2017,1,1,1,0.0
1/2/2014,3,3,1,14.478
1/2/2015,2,2,2,0.0
1/2/2016,2,2,1,0.0
1/2/2017,2,1,1,0.0
1/20/2014,3,3,2,0.0
1/20/2015,2,2,1,0.0
1/20/2016,3,3,2,0.254
1/20/2017,2,1,1,0.254
1/21/2014,3,3,2,0.0
1/21/2015,2,2,1,9.652
1/21/2016,3,3,2,3.81
1/21/2017,2,1,1,2.032
1/22/2014,2,2,2,0.0
1/22/2015,2,2,1,0.0
1/22/2016,2,2,2,0.0
1/22/2017,3,2,2,0.0
1/23/2014,2,2,2,0.0
1/23/2015,2,2,1,0.508
1/23/2016,2,2,1,0.762
1/23/2017,3,3,3,0.508
1/24/2014,2,2,2,0.0
1/24/2015,2,2,1,0.0
1/24/2016,2,2,1,1.016
1/24/2017,3,3,3,8.382
1/25/2014,2,2,1,0.0
1/25/2015,2,2,1,0.0
1/25/2016,2,2,1,0.0
1/25/2017,2,2,2,1.524
1/26/2014,2,2,1,0.0
1/26/2015,2,2,1,0.0
1/26/2016,2,2,1,0.254
1/26/2017,2,2,2,0.508
1/27/2014,2,2,1,0.0
1/27/2015,2,2,1,0.0
1/27/2016,2,2,1,0.254
1/27/2017,2,2,2,0.762
1/28/2014,2,2,1,3.302
1/28/2015,2,2,1,0.0
1/28/2016,2,2,1,0.0
1/28/2017,2,2,2,0.0
1/29/2014,2,2,1,2.794
1/29/2015,2,2,1,0.0
1/29/2016,2,2,1,0.0
1/29/2017,2,2,2,0.0
1/3/2014,3,3,1,0.762
1/3/2015,2,2,2,0.0
1/3/2016,2,2,1,0.0
1/3/2017,2,2,2,0.0
1/30/2014,4,4,3,0.0
1/30/2015,2,1,1,0.0
1/30/2016,2,2,1,2.794
1/30/2017,2,2,2,0.254
1/31/2014,4,4,4,20.828
1/31/2015,1,1,1,0.0
1/31/2016,3,3,3,0.0
1/31/2017,2,2,2,0.0
1/4/2014,3,3,2,0.0
1/4/2015,3,3,2,0.254
1/4/2016,2,2,1,0.0
1/4/2017,3,3,3,2.032
1/5/2014,3,3,2,3.048
1/5/2015,2,2,2,7.874
1/5/2016,2,2,1,0.0
1/5/2017,4,4,3,3.81
1/6/2014,3,3,2,0.0
1/6/2015,2,2,2,0.0
1/6/2016,2,2,1,0.0
1/6/2017,3,3,2,32.258
1/7/2014,3,3,2,0.0
1/7/2015,2,2,2,0.0
1/7/2016,2,2,1,0.0
1/7/2017,3,2,2,0.254
1/8/2014,3,3,2,0.0
1/8/2015,2,2,2,0.0
1/8/2016,2,2,1,0.254
1/8/2017,2,2,2,0.0
1/9/2014,3,3,2,0.0
1/9/2015,2,2,2,0.0
1/9/2016,2,2,1,0.0
1/9/2017,3,3,2,4.572
10/13/2016,2,2,2,0.254
10/19/2016,2,2,2,0.0
11/13/2015,2,2,2,0.0
11/14/2015,2,2,1,0.0
11/15/2015,2,2,1,0.0
11/16/2015,2,2,1,0.0
11/17/2015,3,3,2,2.032
11/18/2015,3,3,1,2.032
11/19/2014,2,2,1,0.0
11/19/2015,2,3,1,2.286
11/2/2015,0,0,0,0.0
11/20/2014,2,2,1,1.27
11/20/2015,2,2,1,7.112
11/21/2014,2,2,1,0.0
11/21/2015,2,2,1,0.0
11/22/2014,2,2,1,0.0
11/22/2015,2,2,1,0.0
11/22/2016,2,2,2,0.0
11/23/2014,3,3,2,0.0
11/23/2015,2,2,1,0.0
11/23/2016,1,1,1,2.286
11/24/2014,3,3,2,0.0
11/24/2015,2,2,1,1.778
11/24/2016,2,2,1,0.0
11/25/2014,3,3,2,0.0
11/25/2015,2,2,1,0.762
11/25/2016,2,2,1,2.794
11/26/2014,3,3,2,0.0
11/26/2015,2,2,1,0.508
11/26/2016,1,1,1,0.0
11/27/2014,3,2,2,0.0
11/27/2015,2,2,1,0.254
11/27/2016,2,2,1,0.0
11/28/2014,2,2,2,0.0
11/28/2015,2,2,1,0.0
11/28/2016,2,2,1,1.778
11/29/2014,2,2,2,0.0
11/29/2015,2,2,1,0.0
11/29/2016,2,2,1,3.048
11/30/2014,2,2,1,2.54
11/30/2015,2,2,1,0.254
11/30/2016,2,2,1,1.016
12/1/2014,2,2,1,0.0
12/1/2015,2,2,1,1.016
12/1/2016,2,2,1,0.0
12/10/2014,1,1,1,0.0
12/10/2015,2,2,1,0.0
12/10/2016,3,3,1,5.334
12/11/2014,1,1,1,0.0
12/11/2015,2,2,1,0.0
12/11/2016,4,4,2,2.032
12/12/2014,1,1,1,0.0
12/12/2015,2,2,1,0.0
12/12/2016,4,4,2,12.446
12/13/2014,1,1,1,0.0
12/13/2015,2,2,1,0.254
12/13/2016,3,3,2,0.0
12/14/2014,2,2,2,0.0
12/14/2015,2,2,1,0.0
12/14/2016,2,3,2,0.0
12/15/2014,2,2,2,4.318
12/15/2015,3,3,2,0.508
12/15/2016,3,3,2,6.096
12/16/2014,2,2,2,1.016
12/16/2015,3,2,2,1.524
12/16/2016,3,3,3,1.27
12/17/2014,2,2,1,0.0
12/17/2015,3,2,2,0.0
12/17/2016,4,4,3,3.81
12/18/2014,2,2,1,0.0
12/18/2015,2,2,1,0.0
12/18/2016,3,3,2,18.542
12/19/2014,2,2,1,0.254
12/19/2015,2,2,1,0.0
12/19/2016,3,3,2,0.0
12/2/2014,2,2,1,0.0
12/2/2015,2,2,1,0.0
12/2/2016,2,2,1,0.0
12/20/2014,2,2,1,0.0
12/20/2015,2,2,1,0.0
12/20/2016,3,2,2,0.0
12/21/2014,3,3,3,0.0
12/21/2015,2,2,2,1.016
12/21/2016,2,2,2,0.0
12/22/2014,4,4,4,0.254
12/22/2015,3,3,3,0.762
12/22/2016,2,2,1,0.0
12/23/2013,3,3,1,0.508
12/23/2014,4,4,3,15.748
12/23/2015,3,3,3,0.0
12/23/2016,2,2,1,0.0
12/24/2013,2,2,2,0.0
12/24/2014,3,3,3,0.0
12/24/2015,3,3,3,0.0
12/24/2016,2,1,1,5.08
12/25/2013,3,3,2,4.064
12/25/2014,3,3,3,0.0
12/25/2015,3,3,3,0.0
12/25/2016,2,2,1,0.0
12/26/2013,3,3,2,0.0
12/26/2014,3,3,2,0.254
12/26/2015,3,3,2,0.508
12/26/2016,2,2,1,0.508
12/27/2013,2,2,2,0.0
12/27/2014,2,2,2,0.0
12/27/2015,3,3,2,0.508
12/27/2015,3,3,2,0.508
12/27/2015,3,2,2,0.508
12/27/2015,3,2,2,0.508
12/27/2016,2,2,1,0.0
12/28/2013,2,2,1,0.0
12/28/2014,3,3,2,0.0
12/28/2015,3,2,2,0.254
12/28/2016,2,2,1,0.0
12/29/2013,2,2,1,0.0
12/29/2014,3,3,2,0.762
12/29/2015,3,2,2,0.0
12/29/2016,2,2,1,0.762
12/3/2014,2,2,1,0.0
12/3/2015,2,2,1,0.0
12/3/2016,2,2,1,0.0
12/30/2013,2,2,1,0.254
12/30/2014,3,2,2,1.778
12/30/2015,2,2,2,0.0
12/30/2016,2,1,1,0.0
12/31/2013,2,2,1,0.0
12/31/2014,2,2,2,0.0
12/31/2015,2,2,2,0.0
12/31/2016,2,1,1,0.0
12/4/2014,2,2,1,0.0
12/4/2015,2,2,1,0.0
12/4/2016,2,2,1,0.0
12/5/2014,2,2,1,0.0
12/5/2015,2,2,1,0.0
12/5/2016,2,2,1,0.0
12/6/2014,2,2,1,0.254
12/6/2015,2,2,1,0.0
12/6/2016,2,2,1,2.032
12/7/2014,1,2,1,0.0
12/7/2015,2,2,1,0.254
12/7/2016,3,3,1,2.794
12/8/2014,1,2,1,0.0
12/8/2015,2,2,1,0.254
12/8/2016,2,2,1,9.652
12/9/2014,1,2,1,0.0
12/9/2015,2,2,1,0.762
12/9/2016,3,3,1,0.508
2/1/2014,3,3,3,9.906
2/1/2015,2,2,1,0.508
2/1/2016,3,3,3,10.414
2/1/2017,2,2,2,0.0
2/10/2014,4,4,3,7.112
2/10/2015,2,2,1,0.0
2/10/2016,2,2,2,2.54
2/10/2017,2,2,3,0.254
2/11/2014,4,3,3,7.62
2/11/2015,2,2,1,1.524
2/11/2016,2,2,2,1.778
2/11/2017,2,2,2,0.0
2/12/2014,3,3,3,0.0
2/12/2015,2,2,1,0.508
2/12/2016,2,2,1,0.508
2/12/2017,2,2,2,1.778
2/13/2014,3,3,3,0.0
2/13/2015,2,2,1,0.0
2/13/2016,2,2,1,0.0
2/13/2017,2,2,1,0.508
2/14/2014,4,3,3,4.318
2/14/2015,2,2,1,0.0
2/14/2016,2,2,1,0.0
2/14/2017,2,2,1,0.0
2/15/2014,4,3,3,4.318
2/15/2015,2,2,1,0.0
2/15/2016,2,2,1,1.016
2/15/2017,2,2,2,0.0
2/16/2014,3,3,3,3.048
2/16/2015,3,3,2,0.508
2/16/2016,2,2,1,3.302
2/16/2017,2,2,1,0.0
2/17/2014,3,3,3,0.0
2/17/2015,2,2,2,0.254
2/17/2016,2,2,2,1.524
2/17/2017,1,1,1,0.0
2/18/2014,3,3,3,2.54
2/18/2015,2,2,1,0.0
2/18/2016,2,2,1,0.0
2/18/2017,1,1,1,0.0
2/19/2014,3,3,2,0.0
2/19/2015,2,2,1,0.0
2/19/2016,2,2,1,0.0
2/19/2017,1,1,1,0.0
2/2/2014,3,3,3,0.508
2/2/2015,2,2,1,0.254
2/2/2016,3,3,3,0.254
2/2/2017,2,2,2,0.0
2/20/2014,3,3,2,0.254
2/20/2015,2,2,1,0.0
2/20/2016,2,2,1,6.35
2/20/2017,2,2,1,0.762
2/21/2014,3,3,2,4.064
2/21/2015,3,3,2,3.302
2/21/2016,2,2,1,0.0
2/21/2017,2,2,1,5.334
2/22/2014,3,3,2,0.0
2/22/2015,3,3,3,1.778
2/22/2016,1,1,1,0.0
2/22/2017,2,2,1,14.478
2/23/2014,3,3,2,0.0
2/23/2015,3,3,3,0.508
2/23/2016,2,1,1,0.0
2/23/2017,2,2,1,0.0
2/24/2014,3,2,2,1.778
2/24/2015,3,3,2,11.684
2/24/2016,2,1,1,0.508
2/24/2017,2,2,1,0.0
2/25/2014,2,2,2,0.0
2/25/2015,3,3,2,0.0
2/25/2016,2,1,1,0.0
2/25/2017,2,2,1,0.508
2/26/2014,2,2,2,0.0
2/26/2015,3,3,2,0.254
2/26/2016,2,1,1,0.0
2/26/2017,2,2,1,1.778
2/27/2014,2,2,2,0.254
2/27/2015,3,3,2,0.0
2/27/2016,1,1,1,0.0
2/27/2017,2,2,1,0.254
2/28/2014,3,2,2,0.0
2/28/2015,3,3,2,0.0
2/28/2016,1,1,1,0.0
2/28/2017,2,2,2,0.0
2/29/2016,1,1,1,0.0
2/3/2014,3,3,3,0.254
2/3/2015,2,2,2,1.524
2/3/2016,3,3,3,5.334
2/3/2017,2,1,1,0.508
2/4/2014,3,3,3,0.0
2/4/2015,3,3,2,4.826
2/4/2016,3,3,3,0.0
2/4/2017,2,2,1,0.762
2/5/2014,3,3,2,0.508
2/5/2015,3,3,2,19.812
2/5/2016,3,3,2,0.0
2/5/2017,2,2,1,0.0
2/6/2014,3,3,2,0.762
2/6/2015,3,3,2,2.286
2/6/2016,3,2,2,0.0
2/6/2017,2,2,1,0.0
2/7/2014,3,3,2,0.0
2/7/2015,3,2,2,0.0
2/7/2016,2,2,2,0.0
2/7/2017,2,2,2,0.0
2/8/2014,4,4,3,0.762
2/8/2015,2,2,1,0.0
2/8/2016,2,2,2,0.254
2/8/2017,3,3,2,3.302
2/9/2014,4,4,3,4.572
2/9/2015,2,2,1,0.0
2/9/2016,2,2,2,0.0
2/9/2017,2,2,2,9.906
3/1/2014,3,3,2,4.826
3/1/2015,3,3,2,0.0
3/1/2016,1,1,1,0.0
3/1/2017,2,2,2,0.254
3/10/2014,2,2,2,0.0
3/10/2015,2,2,2,0.0
3/10/2016,2,2,2,0.0
3/11/2014,2,2,2,0.0
3/11/2015,2,2,2,0.0
3/11/2016,2,2,2,0.0
3/12/2014,2,2,2,5.08
3/12/2015,2,2,1,0.0
3/12/2016,1,1,1,0.0
3/13/2014,2,2,1,0.254
3/13/2015,2,2,1,0.0
3/13/2016,1,1,1,0.0
3/14/2014,2,2,1,0.0
3/14/2015,2,2,1,1.016
3/14/2016,1,1,1,0.0
3/15/2014,2,2,1,0.0
3/15/2015,2,2,1,0.0
3/15/2016,3,3,3,5.334
3/16/2014,2,2,1,1.27
3/16/2015,1,1,1,0.0
3/16/2015,1,1,1,0.0
3/16/2015,2,2,2,0.0
3/16/2015,2,2,2,0.0
3/16/2016,3,3,3,8.128
3/17/2014,2,2,1,0.0
3/17/2015,2,2,2,0.0
3/17/2016,3,3,2,7.874
3/18/2014,2,2,1,0.0
3/18/2015,2,2,2,0.0
3/18/2016,3,3,2,2.54
3/19/2014,2,2,1,4.826
3/19/2015,2,2,2,0.508
3/19/2016,3,3,2,5.334
3/2/2014,3,3,2,13.208
3/2/2015,3,3,2,4.572
3/2/2016,1,1,1,0.0
3/20/2014,2,2,1,0.0
3/20/2015,2,2,2,1.524
3/20/2016,3,3,2,0.0
3/21/2014,2,2,1,0.0
3/21/2015,2,2,3,0.0
3/21/2016,2,2,2,3.556
3/22/2014,2,2,1,0.0
3/22/2015,2,2,3,0.0
3/22/2016,2,2,2,0.254
3/23/2014,2,2,1,3.81
3/23/2015,2,2,2,0.0
3/23/2016,3,3,2,0.0
3/24/2014,2,2,1,0.0
3/24/2015,2,1,1,0.0
3/24/2016,3,3,2,5.588
3/25/2014,2,2,1,0.0
3/25/2015,2,1,1,9.398
3/25/2016,3,3,2,0.508
3/26/2014,2,2,1,0.0
3/26/2015,2,1,1,10.922
3/26/2016,3,3,2,0.0
3/27/2014,3,2,2,0.0
3/27/2015,2,1,2,0.0
3/27/2016,2,2,2,0.0
3/28/2014,3,3,2,10.16
3/28/2015,1,2,2,0.0
3/28/2016,2,2,1,0.0
3/29/2014,3,3,2,10.668
3/29/2015,1,2,2,0.0
3/29/2016,2,2,1,2.286
3/3/2014,2,2,2,1.524
3/3/2015,3,3,2,2.54
3/3/2016,2,1,1,0.508
3/30/2014,2,2,2,0.0
3/30/2015,1,2,2,0.508
3/30/2016,2,2,1,0.0
3/31/2014,3,3,1,0.0
3/31/2015,1,2,2,0.0
3/31/2016,3,3,2,2.54
3/4/2014,2,2,2,0.254
3/4/2015,3,3,2,0.0
3/4/2016,2,1,1,1.27
3/5/2014,2,2,2,1.016
3/5/2015,3,3,2,6.35
3/5/2016,1,1,1,0.0
3/6/2014,2,2,2,2.032
3/6/2015,3,3,2,3.302
3/6/2016,1,1,1,0.0
3/7/2014,2,2,2,0.0
3/7/2015,3,2,2,0.0
3/7/2016,1,1,1,0.0
3/8/2014,3,3,3,4.318
3/8/2015,2,2,2,0.0
3/8/2016,2,2,1,0.0
3/9/2014,2,2,2,3.048
3/9/2015,2,2,2,0.0
3/9/2016,2,2,1,2.032
4/1/2014,2,2,1,12.192
4/1/2015,1,2,2,0.0
4/1/2016,2,2,1,1.016
4/10/2014,2,2,1,0.0
4/10/2016,1,2,2,0.508
4/11/2014,2,2,1,0.0
4/11/2016,1,1,2,0.508
4/12/2014,2,2,1,0.0
4/12/2016,1,1,2,0.0
4/13/2014,1,1,1,0.0
4/13/2016,1,2,2,0.0
4/14/2014,1,1,1,13.716
4/14/2014,1,1,1,13.716
4/14/2014,2,2,1,13.716
4/14/2014,2,2,1,13.716
4/14/2016,1,2,2,0.0
4/15/2014,2,2,1,1.524
4/15/2016,1,1,1,0.0
4/16/2014,2,2,1,0.0
4/16/2016,3,3,2,14.224
4/17/2014,2,1,1,1.778
4/17/2016,3,3,2,10.922
4/18/2014,2,2,1,0.0
4/18/2016,2,2,2,1.016
4/19/2014,2,2,1,0.0
4/19/2016,2,2,2,0.0
4/2/2014,2,2,1,0.0
4/2/2015,1,1,1,0.762
4/2/2016,2,2,1,0.0
4/20/2014,2,2,2,1.778
4/20/2016,2,2,2,0.254
4/22/2015,0,0,0,1.016
4/25/2016,2,2,2,2.032
4/3/2014,2,2,1,0.0
4/3/2015,2,2,1,0.0
4/3/2016,2,2,1,0.0
4/4/2014,2,2,1,2.286
4/4/2015,2,2,2,4.572
4/4/2016,2,2,1,0.0
4/5/2014,2,1,1,0.0
4/5/2015,1,1,1,0.0
4/5/2016,2,2,2,0.0
4/6/2014,2,1,1,0.0
4/6/2016,2,2,2,5.588
4/7/2014,2,2,1,0.254
4/7/2016,2,1,1,0.508
4/8/2014,2,2,1,3.556
4/8/2016,1,1,1,0.0
4/9/2014,2,2,1,0.0
4/9/2016,1,1,2,0.0
5/26/2016,2,2,2,0.0
5/7/2015,0,0,0,2.54
6/30/2014,2,2,2,0.0
